metric,delay,factor
Trip plans,32.0,0.9972620928095516
Trip plans,33.0,0.99736613874202
Trip plans,34.0,0.9976438041013579
Trip plans,35.0,0.9977977040261755
Trip plans,36.0,0.9978956379497144
Trip plans,37.0,0.9979008244973039
Trip plans,38.0,0.9982860945944013
Trip plans,39.0,0.9982583274288898
Trip plans,40.0,0.998513017574393
Trip plans,41.0,0.9986733959875607
Trip plans,42.0,0.9986915310532373
Trip plans,43.0,0.9988214924735833
Trip plans,44.0,0.9987400088495484
Trip plans,45.0,0.9986738916042108
Trip plans,46.0,0.9988856645090239
Trip plans,47.0,0.9994647486939978
Trip plans,48.0,0.9995161684314136
Trip plans,49.0,0.9997133462673892
Trip plans,50.0,0.9997486873588672
Trip plans,51.0,0.9998038780944827
Trip plans,52.0,0.9998533361288935
Trip plans,53.0,0.9998627485715409
Trip plans,54.0,0.9998971141406301
Trip plans,55.0,0.9998798325314391
Trip plans,56.0,0.9999278083440156
Trip plans,57.0,0.9999153882741689
Trip plans,58.0,0.9999316178361229
Trip plans,59.0,0.9999577521239242
Trip plans,60.0,0.9999496037688482
Trip plans,61.0,1.0
Trip plans,62.0,1.0
Uncorrected Sessions,0.0,0.921244333618591
Uncorrected Sessions,1.0,0.9474822492372598
Uncorrected Sessions,2.0,0.9523102332409192
Uncorrected Sessions,3.0,0.9552055765511138
Uncorrected Sessions,4.0,0.9570270285079426
Uncorrected Sessions,5.0,0.958706724487744
Uncorrected Sessions,6.0,0.9602883008024705
Uncorrected Sessions,7.0,0.962051999210381
Uncorrected Sessions,8.0,0.9640703532563495
Uncorrected Sessions,9.0,0.9664854606784776
Uncorrected Sessions,10.0,0.9685191239507
Uncorrected Sessions,11.0,0.970258610130231
Uncorrected Sessions,12.0,0.9721661125191121
Uncorrected Sessions,13.0,0.974084528546021
Uncorrected Sessions,14.0,0.9758496435121364
Uncorrected Sessions,15.0,0.9774329322535847
Uncorrected Sessions,16.0,0.9788781622384931
Uncorrected Sessions,17.0,0.9800989309752833
Uncorrected Sessions,18.0,0.9812166768613868
Uncorrected Sessions,19.0,0.9822083067567186
Uncorrected Sessions,20.0,0.9832217405432568
Uncorrected Sessions,21.0,0.9842928583152805
Uncorrected Sessions,22.0,0.9854913780410267
Uncorrected Sessions,23.0,0.9873848290108785
Uncorrected Sessions,24.0,0.9893514266941686
Uncorrected Sessions,25.0,0.9901988688396421
Uncorrected Sessions,26.0,0.9908425055263396
Uncorrected Sessions,27.0,0.9912573290865562
Uncorrected Sessions,28.0,0.9916669008602093
Uncorrected Sessions,29.0,0.9920846591419984
Uncorrected Sessions,30.0,0.9923682943215478
Uncorrected Sessions,31.0,0.9926859425992012
Uncorrected Sessions,32.0,0.9929326063983462
Uncorrected Sessions,33.0,0.9930663406140975
Uncorrected Sessions,34.0,0.9933161925342658
Uncorrected Sessions,35.0,0.993676941504926
Uncorrected Sessions,36.0,0.994004289118369
Uncorrected Sessions,37.0,0.9944694000576799
Uncorrected Sessions,38.0,0.9948220623714196
Uncorrected Sessions,39.0,0.9951684722150023
Uncorrected Sessions,40.0,0.9954119344517715
Uncorrected Sessions,41.0,0.9957125119088825
Uncorrected Sessions,42.0,0.9959851716464121
Uncorrected Sessions,43.0,0.9962297256784863
Uncorrected Sessions,44.0,0.9964708084697591
Uncorrected Sessions,45.0,0.9968941515260646
Uncorrected Sessions,46.0,0.9972909268482327
Uncorrected Sessions,47.0,0.9975806048801162
Uncorrected Sessions,48.0,0.9979444051253136
Uncorrected Sessions,49.0,0.9981840894147951
Uncorrected Sessions,50.0,0.9983845234173935
Uncorrected Sessions,51.0,0.9984541713529516
Uncorrected Sessions,52.0,0.9985999918996412
Uncorrected Sessions,53.0,0.9986931243706382
Uncorrected Sessions,54.0,0.9986955810223119
Uncorrected Sessions,55.0,0.9986901787389496
Uncorrected Sessions,56.0,0.9987027428662972
Uncorrected Sessions,57.0,0.9988697820963317
Uncorrected Sessions,58.0,0.9989024349329064
Uncorrected Sessions,59.0,0.9991290373829198
Uncorrected Sessions,60.0,0.9994842152058205
Uncorrected Sessions,61.0,1.0
Uncorrected Sessions,62.0,1.0
Unique Users,0.0,0.9066327779828267
Unique Users,1.0,0.9347561738381239
Unique Users,2.0,0.9404448899503193
Unique Users,3.0,0.9437163988168265
Unique Users,4.0,0.9459605880783312
Unique Users,5.0,0.9480091862507032
Unique Users,6.0,0.9500644447320326
Unique Users,7.0,0.9521332323722899
